year,latitude,longitude,ridership,ridership_coords
2024,40.82388,-73.93647,99235.4415,POINT (-73.93647 40.82388)
2024,40.824073,-73.893064,197995.572,POINT (-73.893064 40.824073)
2024,40.824783,-73.944216,750141.3689,POINT (-73.944216 40.824783)
2024,40.826525,-73.886283,53051.2313,POINT (-73.886283 40.826525)
2024,40.826551,-73.95036,303240.0901,POINT (-73.95036 40.826551)
2024,40.82795,-73.925741,876805.7484,POINT (-73.925741 40.82795)
2024,40.828584,-73.879159,165391.3975,POINT (-73.879159 40.828584)
2024,40.829521,-73.874516,156041.1888,POINT (-73.874516 40.829521)
2024,40.829993,-73.891865,118592.8662,POINT (-73.891865 40.829993)
2024,40.830135,-73.938209,80747.536,POINT (-73.938209 40.830135)
2024,40.830518,-73.941514,86349.7869,POINT (-73.941514 40.830518)
2024,40.831509,-73.867618,107871.7463,POINT (-73.867618 40.831509)
2024,40.833226,-73.860816,432299.8849,POINT (-73.860816 40.833226)
2024,40.833771,-73.91844,210676.9483,POINT (-73.91844 40.833771)
2024,40.834041,-73.94489,323185.8587,POINT (-73.94489 40.834041)
2024,40.834255,-73.851222,162483.655,POINT (-73.851222 40.834255)
2024,40.835537,-73.9214,251394.2866,POINT (-73.9214 40.835537)
2024,40.836013,-73.939892,133547.063,POINT (-73.939892 40.836013)
2024,40.836488,-73.847036,72864.7101,POINT (-73.847036 40.836488)
2024,40.837288,-73.887734,151466.7358,POINT (-73.887734 40.837288)
2024,40.839306,-73.9134,145255.5569,POINT (-73.9134 40.839306)
2024,40.839892,-73.842952,93357.0708,POINT (-73.842952 40.839892)
2024,40.840075,-73.917791,203870.36,POINT (-73.917791 40.840075)
2024,40.840295,-73.880049,140872.3502,POINT (-73.880049 40.840295)
2024,40.840638,-73.939847,799237.539,POINT (-73.939847 40.840638)
2024,40.841894,-73.873488,262635.0353,POINT (-73.873488 40.841894)
2024,40.843863,-73.836322,62518.8666,POINT (-73.836322 40.843863)
2024,40.844434,-73.914685,139013.3592,POINT (-73.914685 40.844434)
2024,40.8459,-73.910136,116243.3794,POINT (-73.910136 40.8459)
2024,40.84681,-73.832569,114468.4904,POINT (-73.832569 40.84681)
2024,40.847391,-73.939704,342039.9605,POINT (-73.939704 40.847391)
2024,40.84848,-73.911794,154976.5055,POINT (-73.911794 40.84848)
2024,40.848828,-73.868457,64959.26,POINT (-73.868457 40.848828)
2024,40.849505,-73.933596,319020.3119,POINT (-73.933596 40.849505)
2024,40.85041,-73.905227,184504.6046,POINT (-73.905227 40.85041)
2024,40.851695,-73.937969,305553.8262,POINT (-73.937969 40.851695)
