address,rest_coords
150EAST   14 STREET10003.0,POINT (-73.988081826031 40.733656184932)
726WEST  181 STREET10033.0,POINT (-73.937054432565 40.850541202932)
11819LIBERTY AVE11419.0,POINT (-73.82481323745 40.686060382878)
5914BEACH CHANNEL DR11692.0,POINT (-73.788968880054 40.594123662384)
4418TH AVE10001.0,POINT (-73.994163853444 40.751234115497)
7272MAIN ST11367.0,POINT (-73.820911737018 40.724890193136)
12036QUEENS BLVD11415.0,POINT (-73.828932573549 40.713434774697)
745EAST  136 STREET10454.0,POINT (-73.912912929677 40.803200608005)
10008NORTHERN BLVD11368.0,POINT (-73.868268486711 40.757342598018)
2350JEROME AVENUE10468.0,POINT (-73.902950934535 40.85989072655)
883AVENUE OF THE AMERICAS10001.0,POINT (-73.988992320375 40.748143135055)
329SAND LANE10305.0,POINT (-74.067752319893 40.591759202628)
129FRONT STREET10005.0,POINT (-74.006369503345 40.705179662722)
125CHURCH STREET10007.0,POINT (-74.008686178757 40.713957284186)
65WEST   55 STREET10019.0,POINT (-73.976868043238 40.762493679864)
17WEST   20 STREET10011.0,POINT (-73.991790357067 40.740032596862)
3543 AVENUE10010.0,POINT (-73.981877288332 40.740583156606)
10COLUMBUS CIRCLE10019.0,POINT (-73.982266967297 40.767808491195)
202CLINTON STREET10002.0,POINT (-73.987140258892 40.714020021805)
800WEST  181 STREET10033.0,POINT (-73.938431250191 40.850934445748)
632211 AVENUE11219.0,POINT (-74.004906797866 40.629629740487)
347EAST   14 STREET10003.0,POINT (-73.983027154213 40.73154756897)
207EAST   26 STREET10010.0,POINT (-73.981155585125 40.740478739333)
351NEW LOTS AVENUE11207.0,POINT (-73.893930633336 40.661472362498)
14AORCHARD ST10002.0,POINT (-73.991714065461 40.715214417866)
1300EAST  222 STREET10469.0,POINT (-73.843117954318 40.879043238484)
11110QUEENS BLVD11375.0,POINT (-73.837270964655 40.718439652463)
722AMSTERDAM AVENUE10025.0,POINT (-73.970750090651 40.793538197266)
163-07BAISLEY BOULEVARD11434.0,POINT (-73.77914663688 40.678548621425)
84023 AVENUE11209.0,POINT (-74.030483382339 40.624893781998)
1928FULTON STREET11233.0,POINT (-73.921948590069 40.678872062156)
2WEST   32 STREET10001.0,POINT (-73.985903129221 40.747308389619)
4325HUNTER ST11101.0,POINT (-73.942594267772 40.747885018737)
14132 AVENUE10021.0,POINT (-73.957590303633 40.769874316989)
1235BROADWAY10001.0,POINT (-73.988418674758 40.747012236859)
122EAST    7 STREET10009.0,POINT (-73.98417941084 40.726305231193)
198GRAND STREET10013.0,POINT (-73.996810970133 40.719161649462)
2431JEROME AVENUE10468.0,POINT (-73.90161368759 40.862079885291)
101PARK AVENUE10178.0,POINT (-73.978485380664 40.750985218449)
200BAYCHESTER AVENUE10475.0,POINT (-73.830429747919 40.865905409786)
1219ACASTLE HILL AVE10462.0,POINT (-73.851171114075 40.832440105926)
176NORTH    9 STREET11211.0,POINT (-73.956115092772 40.718661984141)
50NEW DORP PLAZA SOUTH10306.0,POINT (-74.116828878684 40.573582055245)
122MACDOUGAL STREET10012.0,POINT (-74.000591725258 40.729852558187)
97-0364 AVENUE11374.0,POINT (-73.860197788032 40.729778344863)
2735-2737BROADWAY10025.0,POINT (-73.968049011784 40.800292305005)
194ROCKAWAY AVENUE11233.0,POINT (-73.910908525109 40.676627019193)
24192 AVENUE10035.0,POINT (-73.933972298467 40.802215559441)
94275 AVENUE11209.0,POINT (-74.030911516015 40.615962138411)
435711TH ST11101.0,POINT (-73.948962226984 40.750531233401)
642ROCKAWAY AVENUE11212.0,POINT (-73.909375079337 40.664320975324)
6820ROCKAWAY BEACH BLVD11692.0,POINT (-73.797197145674 40.590383656047)
8612JUSTICE AVENUE11373.0,POINT (-73.877054599537 40.737647685529)
38WEST   56 STREET10019.0,POINT (-73.975795790921 40.762836553474)
1655SHEEPSHEAD BAY ROAD11235.0,POINT (-73.952349927343 40.586529534874)
7260METROPOLITAN AVE11379.0,POINT (-73.8798495165 40.712659524605)
320CYPRESS AVENUE10454.0,POINT (-73.913438292809 40.807499280525)
90HENRY STREET11201.0,POINT (-73.992671874909 40.698191417797)
40-24COLLEGE POINT BOULEVARD11354.0,POINT (-73.834128206733 40.757688085016)
18WEST   23 STREET10010.0,POINT (-73.99044045904 40.741898931157)
694ARTHUR KILL ROAD10308.0,POINT (-74.164339506143 40.560203199495)
189 AVENUE10014.0,POINT (-74.005961470456 40.740106844318)
262CYPRESS AVENUE10454.0,POINT (-73.914256640029 40.805979304297)
4615 AVENUE11215.0,POINT (-73.986864298625 40.668475968582)
115DIVISION STREET10002.0,POINT (-73.991999137253 40.714415710432)
864BEDFORD AVENUE11205.0,POINT (-73.956300014641 40.695309546923)
127EAST   28 STREET10016.0,POINT (-73.982760841413 40.742776358305)
1140UTICA AVENUE11203.0,POINT (-73.929674564511 40.645014721871)
248EAST   52 STREET10022.0,POINT (-73.968748645002 40.756596014223)
15618CROSSBAY BLVD11414.0,POINT (-73.841013073253 40.663719522537)
57NASSAU AVENUE11222.0,POINT (-73.952118246057 40.723340214148)
5NEWKIRK PLAZA11226.0,POINT (-73.962799503878 40.635385103744)
3940BELL BOULEVARD11361.0,POINT (-73.771657410171 40.764851672443)
144WEST   46 STREET10036.0,POINT (-73.983558238563 40.757924810455)
43WEST   24 STREET10010.0,POINT (-73.990685715937 40.74287608684)
1201VICTORY BOULEVARD10301.0,POINT (-74.103670543185 40.616347568676)
11TRINITY PLACE10006.0,POINT (-74.013846556301 40.706523941132)
1342AMSTERDAM AVENUE10027.0,POINT (-73.956077508872 40.813644286372)
855EAST  180 STREET10460.0,POINT (-73.883642161953 40.845580966355)
1593MCDONALD AVENUE11230.0,POINT (-73.974052520427 40.614382374605)
200WEST STREET10282.0,POINT (-74.013812009623 40.713838756323)
222WEST   79 STREET10024.0,POINT (-73.979197034694 40.783496993429)
330WEST   38 STREET10018.0,POINT (-73.992669196124 40.755131589146)
